Data,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012
Ativo Total,"R$ 83 841 417,00","R$ 79 110 193,00","R$ 76 656 714,00","R$ 80 248 013,00","R$ 90 176 233,00","R$ 88 043 176,00","R$ 74 436 157,00","R$ 75 101 184,00","R$ 72 143 200,00","R$ 65 125 921,00","R$ 62 989 046,00","R$ 63 297 044,00","R$ 68 674 015,00","R$ 59 618 976,00","R$ 58 739 270,00","R$ 1 340 374,00","R$ 1 346 301,00"
Ativo Circulante,"R$ 23 886 852,00","R$ 19 990 968,00","R$ 18 561 516,00","R$ 19 074 488,00","R$ 28 314 489,00","R$ 23 835 351,00","R$ 18 360 257,00","R$ 19 241 015,00","R$ 20 728 420,00","R$ 15 446 576,00","R$ 15 773 269,00","R$ 16 352 306,00","R$ 20 470 012,00","R$ 12 478 374,00","R$ 12 057 052,00","R$ 77 552,00","R$ 71 641,00"
Caixa e Equivalentes de Caixa,"R$ 7 876 849,00","R$ 7 285 217,00","R$ 5 729 655,00","R$ 6 007 322,00","R$ 13 620 161,00","R$ 9 680 857,00","R$ 6 899 779,00","R$ 6 974 585,00","R$ 9 722 067,00","R$ 5 748 116,00","R$ 6 273 862,00","R$ 7 296 176,00","R$ 11 285 833,00","R$ 4 835 170,00","R$ 4 482 175,00","R$ 74 204,00","R$ 48 155,00"
Aplicações Financeiras,"R$ 282 771,00","R$ 274 577,00","R$ 263 893,00","R$ 209 067,00","R$ 215 106,00","R$ 718 737,00","R$ 776 569,00","R$ 1 033 758,00","R$ 712 958,00","R$ 526 789,00","R$ 379 938,00","R$ 410 173,00","R$ 288 604,00","R$ 612 489,00","R$ 486 133,00","R$ 0,00","R$ 0,00"
Contas a Receber,"R$ 4 368 059,00","R$ 3 793 336,00","R$ 3 445 761,00","R$ 3 146 114,00","R$ 4 165 670,00","R$ 3 547 086,00","R$ 2 850 365,00","R$ 2 897 700,00","R$ 3 028 854,00","R$ 3 275 641,00","R$ 3 538 384,00","R$ 3 110 085,00","R$ 3 613 506,00","R$ 2 747 850,00","R$ 2 783 139,00","R$ 3 105,00","R$ 21 490,00"
Estoques,"R$ 4 347 052,00","R$ 4 275 809,00","R$ 4 403 950,00","R$ 4 896 059,00","R$ 4 338 172,00","R$ 4 521 418,00","R$ 4 078 682,00","R$ 4 377 889,00","R$ 3 411 284,00","R$ 3 158 975,00","R$ 3 120 458,00","R$ 3 062 296,00","R$ 2 795 490,00","R$ 2 586 540,00","R$ 2 726 250,00","R$ 0,00","R$ 0,00"
Ativos Biológicos,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Tributos a Recuperar,"R$ 5 423 310,00","R$ 3 183 207,00","R$ 3 232 647,00","R$ 3 179 339,00","R$ 3 194 972,00","R$ 1 290 410,00","R$ 1 436 563,00","R$ 1 394 295,00","R$ 1 581 908,00","R$ 1 706 011,00","R$ 1 510 419,00","R$ 1 420 520,00","R$ 1 397 004,00","R$ 850 674,00","R$ 739 122,00","R$ 243,00","R$ 1 996,00"
Despesas Antecipadas,"R$ 771 257,00","R$ 688 917,00","R$ 703 987,00","R$ 748 560,00","R$ 1 017 140,00","R$ 825 520,00","R$ 630 522,00","R$ 701 362,00","R$ 781 603,00","R$ 539 432,00","R$ 553 012,00","R$ 682 212,00","R$ 787 333,00","R$ 593 453,00","R$ 627 320,00","R$ 0,00","R$ 0,00"
Outros Ativos Circulantes,"R$ 817 553,00","R$ 489 904,00","R$ 781 624,00","R$ 888 026,00","R$ 1 763 268,00","R$ 3 251 325,00","R$ 1 687 776,00","R$ 1 861 428,00","R$ 1 489 747,00","R$ 491 612,00","R$ 397 196,00","R$ 370 844,00","R$ 302 243,00","R$ 252 198,00","R$ 212 913,00","R$ 0,00","R$ 0,00"
